filename,setup,camera,person,replication,action,pool,has_skeleton,rgb_path,skeleton_path
S001C001P006R001A001_rgb.avi,1,1,6,1,1,bridge,True,rgb/S001C001P006R001A001_rgb.avi,skeletons/S001C001P006R001A001.skeleton
S001C001P006R001A002_rgb.avi,1,1,6,1,2,bridge,True,rgb/S001C001P006R001A002_rgb.avi,skeletons/S001C001P006R001A002.skeleton
S001C001P006R001A003_rgb.avi,1,1,6,1,3,bridge,True,rgb/S001C001P006R001A003_rgb.avi,skeletons/S001C001P006R001A003.skeleton
S001C001P006R001A004_rgb.avi,1,1,6,1,4,bridge,True,rgb/S001C001P006R001A004_rgb.avi,skeletons/S001C001P006R001A004.skeleton
S001C001P006R001A005_rgb.avi,1,1,6,1,5,bridge,True,rgb/S001C001P006R001A005_rgb.avi,skeletons/S001C001P006R001A005.skeleton
S001C001P006R001A006_rgb.avi,1,1,6,1,6,bridge,True,rgb/S001C001P006R001A006_rgb.avi,skeletons/S001C001P006R001A006.skeleton
S001C001P006R001A007_rgb.avi,1,1,6,1,7,bridge,True,rgb/S001C001P006R001A007_rgb.avi,skeletons/S001C001P006R001A007.skeleton
S001C001P006R001A008_rgb.avi,1,1,6,1,8,bridge,True,rgb/S001C001P006R001A008_rgb.avi,skeletons/S001C001P006R001A008.skeleton
S001C001P006R001A009_rgb.avi,1,1,6,1,9,bridge,True,rgb/S001C001P006R001A009_rgb.avi,skeletons/S001C001P006R001A009.skeleton
S001C001P006R001A010_rgb.avi,1,1,6,1,10,bridge,True,rgb/S001C001P006R001A010_rgb.avi,skeletons/S001C001P006R001A010.skeleton
S001C001P006R001A011_rgb.avi,1,1,6,1,11,bridge,True,rgb/S001C001P006R001A011_rgb.avi,skeletons/S001C001P006R001A011.skeleton
S001C001P006R001A012_rgb.avi,1,1,6,1,12,bridge,True,rgb/S001C001P006R001A012_rgb.avi,skeletons/S001C001P006R001A012.skeleton
S001C001P006R001A013_rgb.avi,1,1,6,1,13,bridge,True,rgb/S001C001P006R001A013_rgb.avi,skeletons/S001C001P006R001A013.skeleton
S001C001P006R001A014_rgb.avi,1,1,6,1,14,bridge,True,rgb/S001C001P006R001A014_rgb.avi,skeletons/S001C001P006R001A014.skeleton
S001C001P006R001A015_rgb.avi,1,1,6,1,15,bridge,True,rgb/S001C001P006R001A015_rgb.avi,skeletons/S001C001P006R001A015.skeleton
S001C001P006R001A016_rgb.avi,1,1,6,1,16,bridge,True,rgb/S001C001P006R001A016_rgb.avi,skeletons/S001C001P006R001A016.skeleton
S001C001P006R001A017_rgb.avi,1,1,6,1,17,bridge,True,rgb/S001C001P006R001A017_rgb.avi,skeletons/S001C001P006R001A017.skeleton
S001C001P006R001A018_rgb.avi,1,1,6,1,18,bridge,True,rgb/S001C001P006R001A018_rgb.avi,skeletons/S001C001P006R001A018.skeleton
S001C001P006R001A019_rgb.avi,1,1,6,1,19,bridge,True,rgb/S001C001P006R001A019_rgb.avi,skeletons/S001C001P006R001A019.skeleton
S001C001P006R001A020_rgb.avi,1,1,6,1,20,bridge,True,rgb/S001C001P006R001A020_rgb.avi,skeletons/S001C001P006R001A020.skeleton
S001C001P006R001A021_rgb.avi,1,1,6,1,21,bridge,True,rgb/S001C001P006R001A021_rgb.avi,skeletons/S001C001P006R001A021.skeleton
S001C001P006R001A022_rgb.avi,1,1,6,1,22,bridge,True,rgb/S001C001P006R001A022_rgb.avi,skeletons/S001C001P006R001A022.skeleton
S001C001P006R001A023_rgb.avi,1,1,6,1,23,bridge,True,rgb/S001C001P006R001A023_rgb.avi,skeletons/S001C001P006R001A023.skeleton
S001C001P006R001A024_rgb.avi,1,1,6,1,24,bridge,True,rgb/S001C001P006R001A024_rgb.avi,skeletons/S001C001P006R001A024.skeleton
S001C001P006R001A025_rgb.avi,1,1,6,1,25,bridge,True,rgb/S001C001P006R001A025_rgb.avi,skeletons/S001C001P006R001A025.skeleton
S001C001P006R001A026_rgb.avi,1,1,6,1,26,bridge,True,rgb/S001C001P006R001A026_rgb.avi,skeletons/S001C001P006R001A026.skeleton
S001C001P006R001A027_rgb.avi,1,1,6,1,27,bridge,True,rgb/S001C001P006R001A027_rgb.avi,skeletons/S001C001P006R001A027.skeleton
S001C001P006R001A028_rgb.avi,1,1,6,1,28,bridge,True,rgb/S001C001P006R001A028_rgb.avi,skeletons/S001C001P006R001A028.skeleton
S001C001P006R001A029_rgb.avi,1,1,6,1,29,bridge,True,rgb/S001C001P006R001A029_rgb.avi,skeletons/S001C001P006R001A029.skeleton
S001C001P006R001A030_rgb.avi,1,1,6,1,30,bridge,True,rgb/S001C001P006R001A030_rgb.avi,skeletons/S001C001P006R001A030.skeleton
S001C001P006R001A031_rgb.avi,1,1,6,1,31,bridge,True,rgb/S001C001P006R001A031_rgb.avi,skeletons/S001C001P006R001A031.skeleton
S001C001P006R001A032_rgb.avi,1,1,6,1,32,bridge,True,rgb/S001C001P006R001A032_rgb.avi,skeletons/S001C001P006R001A032.skeleton
S001C001P006R001A033_rgb.avi,1,1,6,1,33,bridge,True,rgb/S001C001P006R001A033_rgb.avi,skeletons/S001C001P006R001A033.skeleton
S001C001P006R001A034_rgb.avi,1,1,6,1,34,bridge,True,rgb/S001C001P006R001A034_rgb.avi,skeletons/S001C001P006R001A034.skeleton
S001C001P006R001A035_rgb.avi,1,1,6,1,35,bridge,True,rgb/S001C001P006R001A035_rgb.avi,skeletons/S001C001P006R001A035.skeleton
S001C001P006R001A036_rgb.avi,1,1,6,1,36,bridge,True,rgb/S001C001P006R001A036_rgb.avi,skeletons/S001C001P006R001A036.skeleton
S001C001P006R001A037_rgb.avi,1,1,6,1,37,bridge,True,rgb/S001C001P006R001A037_rgb.avi,skeletons/S001C001P006R001A037.skeleton
S001C001P006R001A038_rgb.avi,1,1,6,1,38,bridge,True,rgb/S001C001P006R001A038_rgb.avi,skeletons/S001C001P006R001A038.skeleton
S001C001P006R001A039_rgb.avi,1,1,6,1,39,bridge,True,rgb/S001C001P006R001A039_rgb.avi,skeletons/S001C001P006R001A039.skeleton
S001C001P006R001A040_rgb.avi,1,1,6,1,40,bridge,True,rgb/S001C001P006R001A040_rgb.avi,skeletons/S001C001P006R001A040.skeleton
S001C001P006R001A041_rgb.avi,1,1,6,1,41,bridge,True,rgb/S001C001P006R001A041_rgb.avi,skeletons/S001C001P006R001A041.skeleton
S001C001P006R001A042_rgb.avi,1,1,6,1,42,bridge,True,rgb/S001C001P006R001A042_rgb.avi,skeletons/S001C001P006R001A042.skeleton
S001C001P006R001A043_rgb.avi,1,1,6,1,43,bridge,True,rgb/S001C001P006R001A043_rgb.avi,skeletons/S001C001P006R001A043.skeleton
S001C001P006R001A044_rgb.avi,1,1,6,1,44,bridge,True,rgb/S001C001P006R001A044_rgb.avi,skeletons/S001C001P006R001A044.skeleton
S001C001P006R001A045_rgb.avi,1,1,6,1,45,bridge,True,rgb/S001C001P006R001A045_rgb.avi,skeletons/S001C001P006R001A045.skeleton
S001C001P006R001A046_rgb.avi,1,1,6,1,46,bridge,True,rgb/S001C001P006R001A046_rgb.avi,skeletons/S001C001P006R001A046.skeleton
S001C001P006R001A047_rgb.avi,1,1,6,1,47,bridge,True,rgb/S001C001P006R001A047_rgb.avi,skeletons/S001C001P006R001A047.skeleton
S001C001P006R001A048_rgb.avi,1,1,6,1,48,bridge,True,rgb/S001C001P006R001A048_rgb.avi,skeletons/S001C001P006R001A048.skeleton
S001C001P006R001A049_rgb.avi,1,1,6,1,49,bridge,True,rgb/S001C001P006R001A049_rgb.avi,skeletons/S001C001P006R001A049.skeleton
S001C001P006R001A050_rgb.avi,1,1,6,1,50,bridge,True,rgb/S001C001P006R001A050_rgb.avi,skeletons/S001C001P006R001A050.skeleton
S001C001P006R001A051_rgb.avi,1,1,6,1,51,bridge,True,rgb/S001C001P006R001A051_rgb.avi,skeletons/S001C001P006R001A051.skeleton
S001C001P006R001A052_rgb.avi,1,1,6,1,52,bridge,True,rgb/S001C001P006R001A052_rgb.avi,skeletons/S001C001P006R001A052.skeleton
S001C001P006R001A053_rgb.avi,1,1,6,1,53,bridge,True,rgb/S001C001P006R001A053_rgb.avi,skeletons/S001C001P006R001A053.skeleton
S001C001P006R001A054_rgb.avi,1,1,6,1,54,bridge,True,rgb/S001C001P006R001A054_rgb.avi,skeletons/S001C001P006R001A054.skeleton
S001C001P006R001A055_rgb.avi,1,1,6,1,55,bridge,True,rgb/S001C001P006R001A055_rgb.avi,skeletons/S001C001P006R001A055.skeleton
S001C001P006R001A056_rgb.avi,1,1,6,1,56,bridge,True,rgb/S001C001P006R001A056_rgb.avi,skeletons/S001C001P006R001A056.skeleton
S001C001P006R001A057_rgb.avi,1,1,6,1,57,bridge,True,rgb/S001C001P006R001A057_rgb.avi,skeletons/S001C001P006R001A057.skeleton
S001C001P006R001A058_rgb.avi,1,1,6,1,58,bridge,True,rgb/S001C001P006R001A058_rgb.avi,skeletons/S001C001P006R001A058.skeleton
S001C001P006R001A059_rgb.avi,1,1,6,1,59,bridge,True,rgb/S001C001P006R001A059_rgb.avi,skeletons/S001C001P006R001A059.skeleton
S001C001P006R001A060_rgb.avi,1,1,6,1,60,bridge,True,rgb/S001C001P006R001A060_rgb.avi,skeletons/S001C001P006R001A060.skeleton
S001C001P006R002A001_rgb.avi,1,1,6,2,1,bridge,True,rgb/S001C001P006R002A001_rgb.avi,skeletons/S001C001P006R002A001.skeleton
S001C001P006R002A002_rgb.avi,1,1,6,2,2,bridge,True,rgb/S001C001P006R002A002_rgb.avi,skeletons/S001C001P006R002A002.skeleton
S001C001P006R002A003_rgb.avi,1,1,6,2,3,bridge,True,rgb/S001C001P006R002A003_rgb.avi,skeletons/S001C001P006R002A003.skeleton
